SensorId;Date;Time;value
1;2015-25-05;00:00:00;88
1;2015-25-05;01:00:00;84
1;2015-25-05;02:00:00;84
1;2015-25-05;03:00:00;90
1;2015-25-05;04:00:00;75
1;2015-25-05;05:00:00;86
1;2015-25-05;06:00:00;81
1;2015-25-05;07:00:00;96
1;2015-25-05;08:00:00;74
1;2015-25-05;09:00:00;85
1;2015-25-05;10:00:00;95
1;2015-25-05;11:00:00;97
1;2015-25-05;12:00:00;79
1;2015-25-05;13:00:00;84
1;2015-25-05;14:00:00;72
1;2015-25-05;15:00:00;95
1;2015-25-05;16:00:00;83
1;2015-25-05;17:00:00;98
1;2015-25-05;18:00:00;79
1;2015-25-05;19:00:00;75
1;2015-25-05;20:00:00;78
1;2015-25-05;21:00:00;98
1;2015-25-05;22:00:00;74
1;2015-25-05;23:00:00;70
1;2015-26-05;00:00:00;85
1;2015-26-05;01:00:00;76
1;2015-26-05;02:00:00;98
1;2015-26-05;03:00:00;82
1;2015-26-05;04:00:00;90
1;2015-26-05;05:00:00;78
1;2015-26-05;06:00:00;88
1;2015-26-05;07:00:00;78
1;2015-26-05;08:00:00;92
1;2015-26-05;09:00:00;72
1;2015-26-05;10:00:00;99
1;2015-26-05;11:00:00;98
1;2015-26-05;12:00:00;88
1;2015-26-05;13:00:00;79
1;2015-26-05;14:00:00;93
1;2015-26-05;15:00:00;93
1;2015-26-05;16:00:00;94
1;2015-26-05;17:00:00;87
1;2015-26-05;18:00:00;90
1;2015-26-05;19:00:00;72
1;2015-26-05;20:00:00;71
1;2015-26-05;21:00:00;92
1;2015-26-05;22:00:00;98
1;2015-26-05;23:00:00;84
2;2015-25-05;00:00:00;90
2;2015-25-05;01:00:00;77
2;2015-25-05;02:00:00;89
2;2015-25-05;03:00:00;99
2;2015-25-05;04:00:00;74
2;2015-25-05;05:00:00;94
2;2015-25-05;06:00:00;99
2;2015-25-05;07:00:00;90
2;2015-25-05;08:00:00;70
2;2015-25-05;09:00:00;97
2;2015-25-05;10:00:00;71
2;2015-25-05;11:00:00;91
2;2015-25-05;12:00:00;75
2;2015-25-05;13:00:00;90
2;2015-25-05;14:00:00;100
2;2015-25-05;15:00:00;98
2;2015-25-05;16:00:00;93
2;2015-25-05;17:00:00;98
2;2015-25-05;18:00:00;95
2;2015-25-05;19:00:00;80
2;2015-25-05;20:00:00;77
2;2015-25-05;21:00:00;88
2;2015-25-05;22:00:00;73
2;2015-25-05;23:00:00;70
2;2015-26-05;00:00:00;75
2;2015-26-05;01:00:00;93
2;2015-26-05;02:00:00;73
2;2015-26-05;03:00:00;76
2;2015-26-05;04:00:00;85
2;2015-26-05;05:00:00;70
2;2015-26-05;06:00:00;91
2;2015-26-05;07:00:00;74
2;2015-26-05;08:00:00;77
2;2015-26-05;09:00:00;80
2;2015-26-05;10:00:00;72
2;2015-26-05;11:00:00;82
2;2015-26-05;12:00:00;74
2;2015-26-05;13:00:00;71
2;2015-26-05;14:00:00;72
2;2015-26-05;15:00:00;74
2;2015-26-05;16:00:00;99
2;2015-26-05;17:00:00;74
2;2015-26-05;18:00:00;96
2;2015-26-05;19:00:00;73
2;2015-26-05;20:00:00;94
2;2015-26-05;21:00:00;95
2;2015-26-05;22:00:00;70
2;2015-26-05;23:00:00;86
